model,input/output,n_tokens,datetime,script
gemini-1.5-pro-latest,output,153,2024-05-07 18:04:28.404717,test.py
gemini-1.5-pro-latest,input,914,2024-05-07 18:04:38.006059,test.py
gemini-1.5-pro-latest,output,192,2024-05-07 18:04:38.006736,test.py
claude-3-opus-20240229,input,3479,2024-05-07 19:20:53.280888,run_ai.py
claude-3-opus-20240229,output,322,2024-05-07 19:20:53.285753,run_ai.py
claude-3-opus-20240229,input,3842,2024-05-07 19:22:23.566550,run_ai.py
claude-3-opus-20240229,output,213,2024-05-07 19:22:23.567549,run_ai.py
claude-3-opus-20240229,input,4072,2024-05-07 19:23:18.117347,run_ai.py
claude-3-opus-20240229,output,165,2024-05-07 19:23:18.117899,run_ai.py
claude-3-haiku-20240307,input,843,2024-05-08 00:18:08.847945,scrape_news.py
claude-3-haiku-20240307,output,60,2024-05-08 00:18:08.858946,scrape_news.py
claude-3-haiku-20240307,input,1506,2024-05-08 00:18:11.818948,scrape_news.py
claude-3-haiku-20240307,output,31,2024-05-08 00:18:11.818948,scrape_news.py
claude-3-haiku-20240307,input,1271,2024-05-08 00:18:14.711944,scrape_news.py
claude-3-haiku-20240307,output,12,2024-05-08 00:18:14.712943,scrape_news.py
claude-3-haiku-20240307,input,1407,2024-05-08 00:18:17.553947,scrape_news.py
claude-3-haiku-20240307,output,22,2024-05-08 00:18:17.554947,scrape_news.py
claude-3-haiku-20240307,input,2269,2024-05-08 00:18:20.812946,scrape_news.py
claude-3-haiku-20240307,output,13,2024-05-08 00:18:20.813944,scrape_news.py
claude-3-haiku-20240307,input,1904,2024-05-08 00:18:24.553945,scrape_news.py
claude-3-haiku-20240307,output,23,2024-05-08 00:18:24.554947,scrape_news.py
claude-3-opus-20240229,input,150,2024-05-08 00:25:55.848408,run_ai.py
claude-3-opus-20240229,output,761,2024-05-08 00:25:55.849474,run_ai.py
claude-3-opus-20240229,input,1765,2024-05-08 00:27:36.203241,run_ai.py
claude-3-opus-20240229,output,627,2024-05-08 00:27:36.204268,run_ai.py
claude-3-opus-20240229,input,2399,2024-05-08 00:32:56.021897,run_ai.py
claude-3-opus-20240229,output,732,2024-05-08 00:32:56.022743,run_ai.py
claude-3-opus-20240229,input,925,2024-05-08 00:33:35.370451,run_ai.py
claude-3-opus-20240229,output,710,2024-05-08 00:33:35.371451,run_ai.py
claude-3-opus-20240229,input,2358,2024-05-08 00:37:43.355037,run_ai.py
claude-3-opus-20240229,output,898,2024-05-08 00:37:43.356063,run_ai.py
claude-3-opus-20240229,input,2604,2024-05-08 00:39:30.927302,run_ai.py
claude-3-opus-20240229,output,784,2024-05-08 00:39:30.928303,run_ai.py
claude-3-opus-20240229,input,3415,2024-05-08 00:52:47.189586,run_ai.py
claude-3-opus-20240229,output,783,2024-05-08 00:52:47.189586,run_ai.py
claude-3-opus-20240229,input,4240,2024-05-08 00:59:25.017404,run_ai.py
claude-3-opus-20240229,output,667,2024-05-08 00:59:25.017404,run_ai.py
gpt-4-turbo-preview,input,5044,2024-05-08 01:08:37.455422,run_ai.py
gpt-4-turbo-preview,output,800,2024-05-08 01:08:37.456434,run_ai.py
